tp,fp,tn,fn,tpr,recall,fpr,precision,f1,iou,noise_type,noise_level,frame_idx,snr_like,gaussian_sigma,fpn_std,quant_bits,defect_rate
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,quantization,0.0,5,22.680795519870905,1.0,0.0,10,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,quantization,0.0,6,23.06423910802398,1.0,0.0,10,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,quantization,0.0,7,22.83751051091197,1.0,0.0,10,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,quantization,0.0,8,23.06753240161652,1.0,0.0,10,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,quantization,0.0,9,22.958281818188635,1.0,0.0,10,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,quantization,1.0,0,20.992752268527326,1.0,0.0,9,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,quantization,1.0,1,21.144657353126963,1.0,0.0,9,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,quantization,1.0,2,20.956451246192383,1.0,0.0,9,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,quantization,1.0,3,21.277665100382674,1.0,0.0,9,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,quantization,1.0,4,21.14199415811467,1.0,0.0,9,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,quantization,1.0,5,21.335198658830915,1.0,0.0,9,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,quantization,1.0,6,21.194567748343346,1.0,0.0,9,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,quantization,1.0,7,20.961060394666116,1.0,0.0,9,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,quantization,1.0,8,21.2896483785859,1.0,0.0,9,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,quantization,1.0,9,20.877777286732474,1.0,0.0,9,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,quantization,2.0,0,13.323168703707701,1.0,0.0,8,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,quantization,2.0,1,13.204676525716627,1.0,0.0,8,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,quantization,2.0,2,13.290450103026702,1.0,0.0,8,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,quantization,2.0,3,13.384802678335499,1.0,0.0,8,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,quantization,2.0,4,13.256691432978716,1.0,0.0,8,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,quantization,2.0,5,13.321394462647348,1.0,0.0,8,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,quantization,2.0,6,13.395525712774987,1.0,0.0,8,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,quantization,2.0,7,13.18086541383612,1.0,0.0,8,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,quantization,2.0,8,13.282540830686843,1.0,0.0,8,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,quantization,2.0,9,13.316635362863785,1.0,0.0,8,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,quantization,4.0,0,16.585261629004634,1.0,0.0,6,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,quantization,4.0,1,17.074450944250344,1.0,0.0,6,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,quantization,4.0,2,16.835228247668994,1.0,0.0,6,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,quantization,4.0,3,16.910940175748294,1.0,0.0,6,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,quantization,4.0,4,16.908254195227556,1.0,0.0,6,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,quantization,4.0,5,16.910940175748323,1.0,0.0,6,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,quantization,4.0,6,16.828513296367163,1.0,0.0,6,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,quantization,4.0,7,16.66634551812544,1.0,0.0,6,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,quantization,4.0,8,16.832542267148256,1.0,0.0,6,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,quantization,4.0,9,17.071764963729606,1.0,0.0,6,0.0
195,0,12091,2,0.9898477157360406,0.9898477157360406,0.0,1.0,0.9948979591836734,0.9898477157360406,quantization,6.0,0,32.66497461928935,1.0,0.0,5,0.0
194,0,12091,3,0.9847715736040609,0.9847715736040609,0.0,1.0,0.9923273657289001,0.9847715736040609,quantization,6.0,1,32.497461928934,1.0,0.0,5,0.0
196,0,12091,1,0.9949238578680203,0.9949238578680203,0.0,1.0,0.9974554707379135,0.9949238578680203,quantization,6.0,2,32.83248730964465,1.0,0.0,5,0.0
193,0,12091,4,0.9796954314720813,0.9796954314720813,0.0,1.0,0.9897435897435898,0.9796954314720813,quantization,6.0,3,32.329949238578706,1.0,0.0,5,0.0
192,0,12091,5,0.9746192893401016,0.9746192893401016,0.0,1.0,0.987146529562982,0.9746192893401016,quantization,6.0,4,32.162436548223354,1.0,0.0,5,0.0
196,0,12091,1,0.9949238578680203,0.9949238578680203,0.0,1.0,0.9974554707379135,0.9949238578680203,quantization,6.0,5,32.83248730964465,1.0,0.0,5,0.0
196,0,12091,1,0.9949238578680203,0.9949238578680203,0.0,1.0,0.9974554707379135,0.9949238578680203,quantization,6.0,6,32.83248730964465,1.0,0.0,5,0.0
195,0,12091,2,0.9898477157360406,0.9898477157360406,0.0,1.0,0.9948979591836734,0.9898477157360406,quantization,6.0,7,32.66497461928935,1.0,0.0,5,0.0
195,0,12091,2,0.9898477157360406,0.9898477157360406,0.0,1.0,0.9948979591836734,0.9898477157360406,quantization,6.0,8,32.66497461928935,1.0,0.0,5,0.0
194,0,12091,3,0.9847715736040609,0.9847715736040609,0.0,1.0,0.9923273657289001,0.9847715736040609,quantization,6.0,9,32.497461928934,1.0,0.0,5,0.0
196,0,12091,1,0.9949238578680203,0.9949238578680203,0.0,1.0,0.9974554707379135,0.9949238578680203,quantization,8.0,0,32.83248730964465,1.0,0.0,5,0.0
195,0,12091,2,0.9898477157360406,0.9898477157360406,0.0,1.0,0.9948979591836734,0.9898477157360406,quantization,8.0,1,32.66497461928935,1.0,0.0,5,0.0
194,0,12091,3,0.9847715736040609,0.9847715736040609,0.0,1.0,0.9923273657289001,0.9847715736040609,quantization,8.0,2,32.497461928934,1.0,0.0,5,0.0
193,0,12091,4,0.9796954314720813,0.9796954314720813,0.0,1.0,0.9897435897435898,0.9796954314720813,quantization,8.0,3,32.329949238578706,1.0,0.0,5,0.0
194,0,12091,3,0.9847715736040609,0.9847715736040609,0.0,1.0,0.9923273657289001,0.9847715736040609,quantization,8.0,4,32.497461928934,1.0,0.0,5,0.0
194,0,12091,3,0.9847715736040609,0.9847715736040609,0.0,1.0,0.9923273657289001,0.9847715736040609,quantization,8.0,5,32.497461928934,1.0,0.0,5,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,quantization,8.0,6,33.0,1.0,0.0,5,0.0
194,0,12091,3,0.9847715736040609,0.9847715736040609,0.0,1.0,0.9923273657289001,0.9847715736040609,quantization,8.0,7,32.497461928934,1.0,0.0,5,0.0
194,0,12091,3,0.9847715736040609,0.9847715736040609,0.0,1.0,0.9923273657289001,0.9847715736040609,quantization,8.0,8,32.497461928934,1.0,0.0,5,0.0
193,0,12091,4,0.9796954314720813,0.9796954314720813,0.0,1.0,0.9897435897435898,0.9796954314720813,quantization,8.0,9,32.329949238578706,1.0,0.0,5,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,defects,0.0,0,22.979518957735436,1.0,0.0,10,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,defects,0.0,1,23.04957163845367,1.0,0.0,10,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,defects,0.0,2,22.786458944272255,1.0,0.0,10,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,defects,0.0,3,22.902269878118133,1.0,0.0,10,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,defects,0.0,4,22.76420069192152,1.0,0.0,10,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,defects,0.0,5,22.799429031430112,1.0,0.0,10,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,defects,0.0,6,22.572829615631083,1.0,0.0,10,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,defects,0.0,7,22.8994951418096,1.0,0.0,10,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,defects,0.0,8,22.788325412474105,1.0,0.0,10,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,defects,0.0,9,22.835335709232233,1.0,0.0,10,0.0
