temperature_K,fov_case,axis,index,power_W
300,narrow,column,96,2.144903427099423e-09
300,narrow,column,97,2.1434323884053376e-09
300,narrow,column,98,2.141923166576179e-09
300,narrow,column,99,2.1403758852496516e-09
300,narrow,column,100,2.138790671014258e-09
300,narrow,column,101,2.137167653386498e-09
300,narrow,column,102,2.1355069647876005e-09
300,narrow,column,103,2.133808740519769e-09
300,narrow,column,104,2.1320731187419678e-09
300,narrow,column,105,2.130300240445234e-09
300,narrow,column,106,2.1284902494275485e-09
300,narrow,column,107,2.126643292268259e-09
300,narrow,column,108,2.1247595183020537e-09
300,narrow,column,109,2.122839079592514e-09
300,narrow,column,110,2.1208821309052536e-09
300,narrow,column,111,2.1188888296806263e-09
300,narrow,column,112,2.1168593360060337e-09
300,narrow,column,113,2.114793812587845e-09
300,narrow,column,114,2.11269242472292e-09
300,narrow,column,115,2.110555340269742e-09
300,narrow,column,116,2.1083827296192095e-09
300,narrow,column,117,2.1061747656650325e-09
300,narrow,column,118,2.1039316237737853e-09
300,narrow,column,119,2.101653481754628e-09
340,narrow,row,0,3.5286513879100897e-09
340,narrow,row,1,3.533709766631617e-09
340,narrow,row,2,3.5387147940165088e-09
340,narrow,row,3,3.543666091461211e-09
340,narrow,row,4,3.5485632834248612e-09
340,narrow,row,5,3.5534059974899655e-09
340,narrow,row,6,3.5581938644228528e-09
340,narrow,row,7,3.5629265182338197e-09
340,narrow,row,8,3.5676035962369514e-09
340,narrow,row,9,3.572224739109659e-09
340,narrow,row,10,3.576789590951861e-09
340,narrow,row,11,3.5812977993447817e-09
340,narrow,row,12,3.585749015409432e-09
340,narrow,row,13,3.590142893864658e-09
340,narrow,row,14,3.594479093084816e-09
340,narrow,row,15,3.5987572751570093e-09
340,narrow,row,16,3.6029771059378914e-09
340,narrow,row,17,3.6071382551100235e-09
340,narrow,row,18,3.611240396237765e-09
340,narrow,row,19,3.61528320682266e-09
340,narrow,row,20,3.6192663683583594e-09
340,narrow,row,21,3.6231895663849892e-09
340,narrow,row,22,3.627052490543004e-09
340,narrow,row,23,3.6308548346264964e-09
340,narrow,row,24,3.6345962966359444e-09
340,narrow,row,25,3.6382765788303584e-09
340,narrow,row,26,3.6418953877788484e-09
340,narrow,row,27,3.6454524344116097e-09
340,narrow,row,28,3.6489474340702194e-09
340,narrow,row,29,3.652380106557351e-09
340,narrow,row,30,3.6557501761858085e-09
340,narrow,row,31,3.6590573718268938e-09
340,narrow,row,32,3.6623014269580867e-09
340,narrow,row,33,3.6654820797100494e-09
340,narrow,row,34,3.6685990729128827e-09
340,narrow,row,35,3.6716521541416703e-09
340,narrow,row,36,3.6746410757613e-09
340,narrow,row,37,3.6775655949705094e-09
340,narrow,row,38,3.68042547384516e-09
340,narrow,row,39,3.6832204793807537e-09
340,narrow,row,40,3.685950383534131e-09
340,narrow,row,41,3.6886149632643797e-09
340,narrow,row,42,3.6912140005729026e-09
340,narrow,row,43,3.6937472825426836e-09
340,narrow,row,44,3.6962146013766695e-09
340,narrow,row,45,3.6986157544353405e-09
340,narrow,row,46,3.7009505442733694e-09
340,narrow,row,47,3.7032187786754157e-09
340,narrow,row,48,3.7054202706910622e-09
340,narrow,row,49,3.707554838668785e-09
340,narrow,row,50,3.7096223062890622e-09
340,narrow,row,51,3.7116225025965423e-09
340,narrow,row,52,3.7135552620312745e-09
340,narrow,row,53,3.7154204244589955e-09
340,narrow,row,54,3.7172178352004677e-09
340,narrow,row,55,3.7189473450598634e-09
340,narrow,row,56,3.7206088103521576e-09
340,narrow,row,57,3.7222020929295505e-09
340,narrow,row,58,3.723727060206899e-09
340,narrow,row,59,3.725183585186167e-09
340,narrow,row,60,3.726571546479832e-09
340,narrow,row,61,3.7278908283333285e-09
340,narrow,row,62,3.72914132064643e-09
340,narrow,row,63,3.730322918993631e-09
340,narrow,row,64,3.7314355246434636e-09
340,narrow,row,65,3.732479044576844e-09
340,narrow,row,66,3.7334533915042695e-09
340,narrow,row,67,3.7343584838820605e-09
340,narrow,row,68,3.7351942459274945e-09
340,narrow,row,69,3.7359606076328846e-09
340,narrow,row,70,3.736657504778612e-09
340,narrow,row,71,3.737284878945073e-09
340,narrow,row,72,3.7378426775235444e-09
340,narrow,row,73,3.738330853725984e-09
340,narrow,row,74,3.738749366593766e-09
340,narrow,row,75,3.739098181005292e-09
340,narrow,row,76,3.7393772676825505e-09
340,narrow,row,77,3.73958660319658e-09
340,narrow,row,78,3.739726169971827e-09
340,narrow,row,79,3.739795956289437e-09
340,narrow,row,80,3.739795956289437e-09
340,narrow,row,81,3.739726169971827e-09
