temperature_K,fov_case,radius_px,mean_power_W
340,wide,83.16379217018064,2.822583051287539e-09
340,wide,85.64629342899201,2.7783696153506177e-09
340,wide,88.12879468780338,2.7334220040969156e-09
340,wide,90.61129594661473,2.6882110433828253e-09
340,wide,93.0937972054261,2.6438300872725892e-09
340,wide,95.57629846423745,2.6000103776460376e-09
340,wide,98.05879972304882,2.559735110870984e-09
380,wide,1.2412506294056813,5.791781209732808e-09
380,wide,3.723751888217044,5.788551736693961e-09
380,wide,6.206253147028407,5.782251806308105e-09
380,wide,8.68875440583977,5.772794893792669e-09
380,wide,11.171255664651131,5.760271207442245e-09
380,wide,13.653756923462495,5.7452618943145935e-09
380,wide,16.136258182273856,5.727000462980781e-09
380,wide,18.61875944108522,5.70529087369775e-09
380,wide,21.10126069989658,5.680829025286767e-09
380,wide,23.583761958707946,5.653568093191033e-09
380,wide,26.066263217519307,5.623770868212612e-09
380,wide,28.54876447633067,5.590607719656482e-09
380,wide,31.031265735142032,5.555428182082598e-09
380,wide,33.513766993953396,5.517571526654747e-09
380,wide,35.996268252764764,5.4776271979602336e-09
380,wide,38.47876951157612,5.434223459370993e-09
380,wide,40.961270770387486,5.388935219554911e-09
380,wide,43.44377202919884,5.341307767159521e-09
380,wide,45.92627328801021,5.292227563582773e-09
380,wide,48.408774546821576,5.24073479189735e-09
380,wide,50.89127580563293,5.187436119807534e-09
380,wide,53.3737770644443,5.131946467823457e-09
380,wide,55.856278323255665,5.075365869301607e-09
380,wide,58.33877958206702,5.0170970720274465e-09
380,wide,60.82128084087839,4.958008299807441e-09
380,wide,63.30378209968974,4.896215797445225e-09
380,wide,65.78628335850111,4.834023148841223e-09
380,wide,68.26878461731248,4.770442710093976e-09
380,wide,70.75128587612383,4.705487604020436e-09
380,wide,73.2337871349352,4.639577366732384e-09
380,wide,75.71628839374657,4.573740379330044e-09
380,wide,78.19878965255792,4.506760570733495e-09
380,wide,80.68129091136929,4.4413547159961564e-09
380,wide,83.16379217018064,4.371761383066215e-09
380,wide,85.64629342899201,4.3032813460470975e-09
380,wide,88.12879468780338,4.233664180645935e-09
380,wide,90.61129594661473,4.163639126094916e-09
380,wide,93.0937972054261,4.094899625240273e-09
380,wide,95.57629846423745,4.027029411722497e-09
380,wide,98.05879972304882,3.9646490130661855e-09
420,wide,1.2412506294056813,8.308191456776238e-09
420,wide,3.723751888217044,8.303558843882273e-09
420,wide,6.206253147028407,8.29452172284564e-09
420,wide,8.68875440583977,8.280955975638857e-09
420,wide,11.171255664651131,8.262991004211917e-09
420,wide,13.653756923462495,8.241460452109972e-09
420,wide,16.136258182273856,8.215264803085602e-09
420,wide,18.61875944108522,8.18412284214476e-09
420,wide,21.10126069989658,8.149032821885784e-09
420,wide,23.583761958707946,8.109927573441502e-09
420,wide,26.066263217519307,8.067184064832209e-09
420,wide,28.54876447633067,8.019612207827176e-09
420,wide,31.031265735142032,7.969147882097204e-09
420,wide,33.513766993953396,7.914843285666791e-09
420,wide,35.996268252764764,7.857543964717177e-09
420,wide,38.47876951157612,7.79528219116584e-09
420,wide,40.961270770387486,7.730317139222907e-09
420,wide,43.44377202919884,7.661996534771472e-09
420,wide,45.92627328801021,7.591591988521011e-09
420,wide,48.408774546821576,7.517726662758422e-09
420,wide,50.89127580563293,7.441270809873304e-09
420,wide,53.3737770644443,7.3616720412287154e-09
420,wide,55.856278323255665,7.280508332132009e-09
420,wide,58.33877958206702,7.196922936520678e-09
420,wide,60.82128084087839,7.1121613036529375e-09
420,wide,63.30378209968974,7.023521225302624e-09
420,wide,65.78628335850111,6.934307145368499e-09
420,wide,68.26878461731248,6.843102308913304e-09
420,wide,70.75128587612383,6.749925540349029e-09
420,wide,73.2337871349352,6.655378655630649e-09
420,wide,75.71628839374657,6.560936846372243e-09
420,wide,78.19878965255792,6.4648556835301076e-09
420,wide,80.68129091136929,6.3710323252446225e-09
420,wide,83.16379217018064,6.271202115304115e-09
420,wide,85.64629342899201,6.172968905533367e-09
420,wide,88.12879468780338,6.0731045084012775e-09
420,wide,90.61129594661473,5.9726550026424285e-09
420,wide,93.0937972054261,5.874049597316704e-09
420,wide,95.57629846423745,5.7766911668617726e-09
420,wide,98.05879972304882,5.687207763325093e-09
