scenario,alpha,window,snr_like,tpr,fpr,precision,f1,iou,detection_delay_frames,peak_amplitude_ratio,detection_probability,mean_center_error_px
intermittent,0.3,5,18.00939406407415,0.9628775167785235,0.0,1.0,0.9768470920657806,0.9628775167785235,0.0,0.9903147962258554,1.0,0.03807493913002603
intermittent,0.3,10,16.48361301422119,0.9215604026845637,0.0,1.0,0.9322210879130521,0.9215604026845637,1.0,0.9840229125488289,0.9375,0.19433683321980522
intermittent,0.6,1,16.729177411967775,1.0,0.0,1.0,1.0,1.0,0.0,0.9839046440586592,1.0,0.0
intermittent,0.6,3,18.105814104665722,0.9609899328859061,0.0,1.0,0.9753538995726496,0.9609899328859061,0.0,0.9808636655051716,1.0,0.03208429823433474
intermittent,0.6,5,18.179886731778623,0.919253355704698,0.0,0.96875,0.9281351578226578,0.919253355704698,1.0,0.9781425046605177,0.90625,0.10934478222586116
intermittent,0.6,10,14.268696784973145,0.9509228187919463,0.0,0.96875,0.9584667646514337,0.9509228187919463,1.0,0.9358314595169422,0.96875,0.019169344145407167
intermittent,0.9,1,16.08816432952881,0.9926593959731543,0.0,1.0,0.9958412547528517,0.9926593959731543,0.0,0.7718610680334562,1.0,0.006675326569016384
intermittent,0.9,3,14.53116750717163,0.9614093959731543,3.5467029849052323e-06,0.9684782608695652,0.9644886363636364,0.9612499999999999,1.0,0.7469571735013535,0.96875,0.006303563830082491
intermittent,0.9,5,13.176198959350586,0.9383389261744967,3.5467029849052323e-06,0.9685283687943262,0.9414378458918689,0.9381431767337808,2.0,0.718849188456404,0.9375,0.05466931173907043
intermittent,0.9,10,10.922706604003906,0.8991191275167785,1.7733514924526163e-05,0.9363590169077339,0.9056223826604262,0.8981473713646533,3.0,0.6260197577368536,0.90625,0.0684407126471737
moving,0.0,1,9.733291500443062,1.0,1.2716174974567653e-05,0.9990131578947368,0.9995044052863437,0.9990131578947368,0.0,1.0,1.0,0.006609101801826831
moving,0.0,3,13.539966889701313,0.9993362831858406,0.0028964620775404092,0.8156401982689137,0.898016682473665,0.8152012222520122,0.0,0.9771297784356057,1.0,0.9890409436444447
moving,0.0,5,13.011295682420116,0.9845132743362832,0.005451000339097999,0.6995715791297122,0.817307252966064,0.6921616006286507,0.0,0.9771297784356057,1.0,1.949150832871269
moving,0.0,10,8.54406667341621,0.9438053097345133,0.01068582570362835,0.5373835732689274,0.6823493861008665,0.5219365692762636,0.0,0.9771297784356057,1.0,4.1918940893864605
moving,0.3,1,12.438333272765144,1.0,0.0011063072227873857,0.920583202781101,0.9585725544298231,0.920583202781101,0.0,0.9771297784356057,1.0,0.416910720511404
moving,0.3,3,13.52810744637975,0.9896017699115045,0.0033005538600655595,0.7938160526118792,0.8806896998451146,0.7872715694121608,0.0,0.9771297784356057,1.0,1.181389761941541
moving,0.3,5,12.097728498640242,0.9517699115044248,0.00580281451339437,0.6790807810799901,0.7919495448446595,0.656945416231056,0.0,0.9771297784356057,1.0,2.206064553222615
moving,0.3,10,7.694589886567293,0.906637168141593,0.011420538035492256,0.5116520844330098,0.6513653754658533,0.4873999918632251,0.0,0.9771297784356057,1.0,4.605999132887683
moving,0.6,1,14.44643212129007,0.9998893805309734,0.0041666666666666675,0.7553122266071706,0.8601486946288215,0.7552233377182817,0.0,0.9771297784356057,1.0,1.537269379329845
moving,0.6,3,12.298054460017047,0.9446902654867257,0.006293093704080479,0.6600534989693572,0.7761369017805073,0.635508626606432,0.0,0.9771297784356057,1.0,2.4891535936072677
moving,0.6,5,10.0595881997915,0.9040929203539821,0.00830083644173166,0.5866077813795123,0.70988430577688,0.5525489263213806,0.0,0.9771297784356057,1.0,3.393732782814798
moving,0.6,10,6.1602071216631815,0.858849557522124,0.013022776082287779,0.46813313655480443,0.6019487471644525,0.4354023467579369,0.0,0.9771297784356057,1.0,5.501898948703636
moving,0.9,1,7.503502170845346,0.955862831858407,0.022316887080366228,0.37987703539124185,0.5303190840503941,0.3678779576224894,0.0,0.9771297784356057,1.0,8.952208182305313
moving,0.9,3,5.965814392611736,0.8522123893805309,0.023758053577483892,0.3432585912498447,0.47493924168864793,0.31911336640521604,,0.9771297784356057,0.2375,9.96974039303821
moving,0.9,5,4.816963288757714,0.7869469026548673,0.025038148524923705,0.31722684592776645,0.4366144260253675,0.2872991860723671,,0.9771297784356057,0.1875,10.823321049055005
moving,0.9,10,3.012097307478766,0.6702433628318584,0.027910591160845488,0.2676408932787349,0.36504877774410505,0.2327159993144022,,0.9771297784356057,0.075,12.651121582969065
moving_diagonal,0.0,1,9.722877265045131,1.0,2.2606533288120268e-05,0.9982475209763539,0.9991194257670608,0.9982475209763539,0.0,1.0,1.0,0.011413592089022609
moving_diagonal,0.0,3,12.749180301264598,0.9991150442477876,0.0035577031762179267,0.7834941366307309,0.8778275823021928,0.7829502072264615,0.0,0.9912342762113597,1.0,1.264463200402688
moving_diagonal,0.0,5,11.368257599989883,0.983517699115044,0.006715553294902227,0.6548145792560656,0.7851543186835753,0.6479688872711751,0.0,0.9912342762113597,1.0,2.455316761869774
moving_diagonal,0.0,10,6.744978773964971,0.9266592920353982,0.013911495422177012,0.4699642332362169,0.6199597016096522,0.454992704420366,0.0,0.9912342762113597,1.0,5.370379447239756
moving_diagonal,0.3,1,12.219741267079927,1.0,0.0014510568554312198,0.8986707954543526,0.9464508324686285,0.8986707954543526,0.0,0.9912342762113597,1.0,0.5461338195087968
moving_diagonal,0.3,3,12.351339807573257,0.9880530973451327,0.004067763083531141,0.7578547164487339,0.8572968556532554,0.751086856273753,0.0,0.9912342762113597,1.0,1.5018492688452394
moving_diagonal,0.3,5,10.280858655314825,0.9384955752212388,0.007153554877359557,0.6296573433998708,0.7525917092009049,0.6055316678049042,0.0,0.9912342762113597,1.0,2.8102477801891474
moving_diagonal,0.3,10,5.997361186996339,0.8888274336283185,0.014718266078896803,0.4467596817084889,0.5905682389817635,0.4250980082313456,0.0,0.9912342762113597,1.0,5.830095668110078
moving_diagonal,0.6,1,13.4105753810137,1.0,0.005260257714479484,0.7106393993061746,0.83010377306876,0.7106393993061746,0.0,0.9912342762113597,1.0,1.9254149578884472
moving_diagonal,0.6,3,10.617807874832872,0.9274336283185839,0.007814795976037073,0.6067270256843208,0.7320505251412861,0.5794514150095053,0.0,0.9912342762113597,1.0,3.1505485059740237
moving_diagonal,0.6,5,8.200269116502103,0.8809734513274335,0.010430089295806489,0.525717415513641,0.6560676405728889,0.4915441985932002,0.0,0.9912342762113597,1.0,4.314756961422319
