tp,fp,tn,fn,tpr,recall,fpr,precision,f1,iou,size_px,fill_factor,frame_idx,snr_like,anomaly_area_px
41,0,12224,23,0.640625,0.640625,0.0,1.0,0.780952380952381,0.640625,8,0.25,1,3.8398929857841173,64
47,1,12223,17,0.734375,0.734375,8.18062827225131e-05,0.9791666666666666,0.8392857142857143,0.7230769230769231,8,0.25,2,3.863270333530572,64
47,0,12224,17,0.734375,0.734375,0.0,1.0,0.8468468468468469,0.734375,8,0.25,3,4.019591212087059,64
46,0,12224,18,0.71875,0.71875,0.0,1.0,0.8363636363636363,0.71875,8,0.25,4,3.933592364653971,64
47,0,12224,17,0.734375,0.734375,0.0,1.0,0.8468468468468469,0.734375,8,0.25,5,3.9742463323469877,64
43,0,12224,21,0.671875,0.671875,0.0,1.0,0.8037383177570093,0.671875,8,0.25,6,3.7091828390089625,64
45,0,12224,19,0.703125,0.703125,0.0,1.0,0.8256880733944955,0.703125,8,0.25,7,3.727849947147665,64
45,0,12224,19,0.703125,0.703125,0.0,1.0,0.8256880733944955,0.703125,8,0.25,8,3.89202451073732,64
49,0,12224,15,0.765625,0.765625,0.0,1.0,0.8672566371681416,0.765625,8,0.25,9,4.033543978232871,64
192,0,12032,64,0.75,0.75,0.0,1.0,0.8571428571428571,0.75,16,0.25,0,3.911927782230783,256
171,0,12032,85,0.66796875,0.66796875,0.0,1.0,0.8009367681498829,0.66796875,16,0.25,1,3.8069962001553517,256
171,0,12032,85,0.66796875,0.66796875,0.0,1.0,0.8009367681498829,0.66796875,16,0.25,2,3.779360901544133,256
184,0,12032,72,0.71875,0.71875,0.0,1.0,0.8363636363636363,0.71875,16,0.25,3,3.8307729490956324,256
189,0,12032,67,0.73828125,0.73828125,0.0,1.0,0.849438202247191,0.73828125,16,0.25,4,3.850990163528239,256
181,0,12032,75,0.70703125,0.70703125,0.0,1.0,0.8283752860411899,0.70703125,16,0.25,5,3.763529293631113,256
184,0,12032,72,0.71875,0.71875,0.0,1.0,0.8363636363636363,0.71875,16,0.25,6,3.833997895411681,256
168,0,12032,88,0.65625,0.65625,0.0,1.0,0.7924528301886793,0.65625,16,0.25,7,3.6870731370770247,256
172,0,12032,84,0.671875,0.671875,0.0,1.0,0.8037383177570093,0.671875,16,0.25,8,3.81899106531206,256
168,0,12032,88,0.65625,0.65625,0.0,1.0,0.7924528301886793,0.65625,16,0.25,9,3.7789950607633616,256
701,1,11263,323,0.6845703125,0.6845703125,8.87784090909091e-05,0.9985754985754985,0.8122827346465817,0.6839024390243903,32,0.25,0,3.8320922688638843,1024
715,0,11264,309,0.6982421875,0.6982421875,0.0,1.0,0.8223116733755031,0.6982421875,32,0.25,1,3.8162614235027057,1024
703,0,11264,321,0.6865234375,0.6865234375,0.0,1.0,0.814128546612623,0.6865234375,32,0.25,2,3.789257086873,1024
707,0,11264,317,0.6904296875,0.6904296875,0.0,1.0,0.8168688619295205,0.6904296875,32,0.25,3,3.791101001331176,1024
700,0,11264,324,0.68359375,0.68359375,0.0,1.0,0.8120649651972158,0.68359375,32,0.25,4,3.796097118514497,1024
716,0,11264,308,0.69921875,0.69921875,0.0,1.0,0.8229885057471265,0.69921875,32,0.25,5,3.878887237707545,1024
716,0,11264,308,0.69921875,0.69921875,0.0,1.0,0.8229885057471265,0.69921875,32,0.25,6,3.836300418608262,1024
693,0,11264,331,0.6767578125,0.6767578125,0.0,1.0,0.8072218986604542,0.6767578125,32,0.25,7,3.762141795167016,1024
733,0,11264,291,0.7158203125,0.7158203125,0.0,1.0,0.8343767785998861,0.7158203125,32,0.25,8,3.85638173376269,1024
704,0,11264,320,0.6875,0.6875,0.0,1.0,0.8148148148148148,0.6875,32,0.25,9,3.7983427026616874,1024
1,6,12281,0,1.0,1.0,0.0004883209896638724,0.14285714285714285,0.25,0.14285714285714285,1,0.5,0,7.695866813176454,1
1,2,12285,0,1.0,1.0,0.0001627736632212908,0.3333333333333333,0.5,0.3333333333333333,1,0.5,1,7.338097074178282,1
1,6,12281,0,1.0,1.0,0.0004883209896638724,0.14285714285714285,0.25,0.14285714285714285,1,0.5,2,5.377934963363353,1
1,7,12280,0,1.0,1.0,0.0005697078212745178,0.125,0.2222222222222222,0.125,1,0.5,3,7.752503236701622,1
1,3,12284,0,1.0,1.0,0.0002441604948319362,0.25,0.4,0.25,1,0.5,4,8.185232988826124,1
1,3,12284,0,1.0,1.0,0.0002441604948319362,0.25,0.4,0.25,1,0.5,5,9.584168543800168,1
1,4,12283,0,1.0,1.0,0.0003255473264425816,0.2,0.33333333333333337,0.2,1,0.5,6,6.892368188828446,1
1,6,12281,0,1.0,1.0,0.0004883209896638724,0.14285714285714285,0.25,0.14285714285714285,1,0.5,7,7.599559899971304,1
1,9,12278,0,1.0,1.0,0.0007324814844958086,0.1,0.18181818181818182,0.1,1,0.5,8,6.842845769603109,1
1,4,12283,0,1.0,1.0,0.0003255473264425816,0.2,0.33333333333333337,0.2,1,0.5,9,6.172582309460092,1
4,0,12284,0,1.0,1.0,0.0,1.0,1.0,1.0,2,0.5,0,7.7606833050357515,4
4,0,12284,0,1.0,1.0,0.0,1.0,1.0,1.0,2,0.5,1,7.21157871131448,4
4,0,12284,0,1.0,1.0,0.0,1.0,1.0,1.0,2,0.5,2,7.58493137293433,4
4,0,12284,0,1.0,1.0,0.0,1.0,1.0,1.0,2,0.5,3,8.29163032674818,4
4,0,12284,0,1.0,1.0,0.0,1.0,1.0,1.0,2,0.5,4,8.368421074517636,4
4,0,12284,0,1.0,1.0,0.0,1.0,1.0,1.0,2,0.5,5,8.12964058191305,4
4,0,12284,0,1.0,1.0,0.0,1.0,1.0,1.0,2,0.5,6,7.339159291388942,4
4,0,12284,0,1.0,1.0,0.0,1.0,1.0,1.0,2,0.5,7,7.314479563470732,4
4,0,12284,0,1.0,1.0,0.0,1.0,1.0,1.0,2,0.5,8,7.683974890107595,4
4,0,12284,0,1.0,1.0,0.0,1.0,1.0,1.0,2,0.5,9,8.22584184336397,4
16,0,12272,0,1.0,1.0,0.0,1.0,1.0,1.0,4,0.5,0,7.640941402467308,16
16,0,12272,0,1.0,1.0,0.0,1.0,1.0,1.0,4,0.5,1,7.3617274482766515,16
16,0,12272,0,1.0,1.0,0.0,1.0,1.0,1.0,4,0.5,2,8.11218549464444,16
16,0,12272,0,1.0,1.0,0.0,1.0,1.0,1.0,4,0.5,3,8.060186885354181,16
16,0,12272,0,1.0,1.0,0.0,1.0,1.0,1.0,4,0.5,4,7.426718059705071,16
16,0,12272,0,1.0,1.0,0.0,1.0,1.0,1.0,4,0.5,5,7.526969642407769,16
16,0,12272,0,1.0,1.0,0.0,1.0,1.0,1.0,4,0.5,6,7.477064022061735,16
16,0,12272,0,1.0,1.0,0.0,1.0,1.0,1.0,4,0.5,7,7.689036477071617,16
16,0,12272,0,1.0,1.0,0.0,1.0,1.0,1.0,4,0.5,8,7.799737119144203,16
16,0,12272,0,1.0,1.0,0.0,1.0,1.0,1.0,4,0.5,9,7.584970470850123,16
64,0,12224,0,1.0,1.0,0.0,1.0,1.0,1.0,8,0.5,0,7.515872863086698,64
64,0,12224,0,1.0,1.0,0.0,1.0,1.0,1.0,8,0.5,1,7.668560138028189,64
64,1,12223,0,1.0,1.0,8.18062827225131e-05,0.9846153846153847,0.9922480620155039,0.9846153846153847,8,0.5,2,7.697115984498527,64
64,0,12224,0,1.0,1.0,0.0,1.0,1.0,1.0,8,0.5,3,7.713050866675832,64
64,0,12224,0,1.0,1.0,0.0,1.0,1.0,1.0,8,0.5,4,7.484096277060801,64
64,0,12224,0,1.0,1.0,0.0,1.0,1.0,1.0,8,0.5,5,7.550536239610287,64
64,0,12224,0,1.0,1.0,0.0,1.0,1.0,1.0,8,0.5,6,7.757909477363667,64
64,0,12224,0,1.0,1.0,0.0,1.0,1.0,1.0,8,0.5,7,7.608240293522286,64
64,0,12224,0,1.0,1.0,0.0,1.0,1.0,1.0,8,0.5,8,7.474746401593137,64
64,0,12224,0,1.0,1.0,0.0,1.0,1.0,1.0,8,0.5,9,7.500642666459273,64
256,0,12032,0,1.0,1.0,0.0,1.0,1.0,1.0,16,0.5,0,7.548464416934267,256
256,0,12032,0,1.0,1.0,0.0,1.0,1.0,1.0,16,0.5,1,7.582677186264571,256
256,0,12032,0,1.0,1.0,0.0,1.0,1.0,1.0,16,0.5,2,7.701226644944613,256
256,0,12032,0,1.0,1.0,0.0,1.0,1.0,1.0,16,0.5,3,7.749932382149891,256
256,0,12032,0,1.0,1.0,0.0,1.0,1.0,1.0,16,0.5,4,7.643600709859805,256
256,0,12032,0,1.0,1.0,0.0,1.0,1.0,1.0,16,0.5,5,7.696635018233799,256
256,0,12032,0,1.0,1.0,0.0,1.0,1.0,1.0,16,0.5,6,7.629912580364811,256
256,0,12032,0,1.0,1.0,0.0,1.0,1.0,1.0,16,0.5,7,7.645915671482008,256
256,0,12032,0,1.0,1.0,0.0,1.0,1.0,1.0,16,0.5,8,7.828926876597873,256
256,0,12032,0,1.0,1.0,0.0,1.0,1.0,1.0,16,0.5,9,7.699682468299498,256
1024,0,11264,0,1.0,1.0,0.0,1.0,1.0,1.0,32,0.5,0,7.713108876443084,1024
1024,0,11264,0,1.0,1.0,0.0,1.0,1.0,1.0,32,0.5,1,7.717818367313832,1024
1024,0,11264,0,1.0,1.0,0.0,1.0,1.0,1.0,32,0.5,2,7.648848323514367,1024
1024,0,11264,0,1.0,1.0,0.0,1.0,1.0,1.0,32,0.5,3,7.710673580475798,1024
1024,0,11264,0,1.0,1.0,0.0,1.0,1.0,1.0,32,0.5,4,7.608935448795442,1024
1024,0,11264,0,1.0,1.0,0.0,1.0,1.0,1.0,32,0.5,5,7.739032057492416,1024
1024,0,11264,0,1.0,1.0,0.0,1.0,1.0,1.0,32,0.5,6,7.794073058147211,1024
